"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1957,22.02,26.4,16.82,0
1958,21.675,26.2,16.25,0
1959,21.675,26.15,16.1,0
1960,21.6166666666667,26.05,16.1833333333333,0
1961,21.4166666666667,25.6833333333333,16.2,0
1963,NA,NA,NA,NA
1964,NA,NA,NA,NA
1965,NA,NA,NA,NA
1966,NA,NA,NA,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1995,NA,NA,NA,NA
1996,NA,NA,NA,NA
1997,NA,NA,NA,NA
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,NA,NA,NA,NA
2002,NA,NA,NA,NA
2003,NA,NA,NA,NA
2004,NA,NA,NA,NA
2005,NA,NA,NA,NA
2006,22.4,26,18.8,NA
2007,22.4,26.2,18.9,NA
2008,NA,NA,NA,NA
2009,NA,NA,NA,NA
2010,NA,NA,NA,NA
2011,NA,NA,NA,NA
2012,NA,NA,NA,NA
2013,NA,NA,NA,NA
2014,NA,NA,NA,NA
2015,22.9,26.8,19.1,NA
2016,23.2,27,19.3,NA
2017,22.7,26.5,19.1,NA
2018,22.3,26,18.9,NA
2019,NA,NA,NA,NA
