"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1982,NA,NA,NA,NA
1984,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1993,NA,NA,NA,NA
1995,NA,NA,NA,NA
1996,NA,NA,NA,NA
1997,NA,NA,NA,NA
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,21.8,26.8,15.4,NA
2002,NA,NA,NA,NA
2003,22.5,27.8,15.1,363.82
2004,22,27.1,14.7,807.54
2005,NA,NA,NA,NA
2006,21.9,27.5,15.2,NA
2007,22.7,28.2,15.3,NA
2008,22.1,26.1,15.4,NA
2009,NA,NA,NA,NA
2010,22.1,27.2,15.5,NA
2011,22,27.3,14.9,NA
2012,22.1,27.7,15.1,NA
2013,21.5,26.2,14.9,NA
2014,NA,NA,NA,NA
2015,22.8,26.9,15.9,NA
2016,22.6,26.5,15.6,NA
2017,NA,NA,NA,NA
2018,NA,NA,NA,NA
2019,NA,NA,NA,NA
